batch_size,dec_init,dec_layers,dec_rnn,dec_size,device,dropout,enc_cnn,enc_dec_hidden_init,enc_init,enc_layers,enc_rnn,enc_size,exp_name,i3d,i3d_after,ind_size,learning_rate,lmbda_norm,max_epochs,mini,neg_pred_weight,no_chkpt,norm_threshold,num_frames,optimizer,output_cnn_size,overwrite,patience,pred_embeddings_assist,pred_margin,quick_run,reload,setting,shuffle,sigmoid_mlp,teacher_forcing_ratio,verbose,weight_decay,acchalf,avg_neg_prob,avg_norm,avg_pos_prob,best_acc,cos_similarity,dset_fragment,f1,f1half,fn,fnhalf,fp,fphalf,l2_distance,legit_f1,pat_distance,pat_norm,thresh,tn,tnhalf,tp,tphalf
100,unit,2,lstm,1250.0,cuda,0.1,vgg,False,unit,2,lstm,1500.0,jade4-4,True,False,10,0.001,1.0,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.01,0.927887323943662,0.004539939277008924,0.893,0.003408419415391326,0.07211267605633803,0.8774,val,0.13469932120914796,0.0001,0,384,4941,0,0.4976,0.13469932120914796,0.42232900857925415,0.8930352676643167,-0.005460060722991076,0,4941,384,0
100,unit,2,lstm,1250.0,cuda,0.1,vgg,False,unit,2,lstm,1500.0,jade4-5,True,False,10,0.001,1.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.01,0.927887323943662,0.0035285207208533022,0.9441,0.0027036132419944823,0.7286384976525822,0.8759,val,0.15262283854171516,0.0001,254,384,1191,0,0.5138,0.15262283854171516,0.43444116586810966,0.9440777914712397,3.852072085322542e-05,3750,4941,130,0
100,unit,2,lstm,1875.0,cuda,0.1,vgg,False,unit,2,lstm,2250.0,jade4-6,True,False,10,0.001,0.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.1,0.927887323943662,0.0025337200778169275,0.864,0.002107839151843944,0.07211267605633803,0.8753,val,0.13469932120914796,0.0001,0,384,4941,0,0.5228,0.13469932120914796,0.4402130821555986,0.8639995882123842,-0.007466279922183072,0,4941,384,0
100,unit,2,lstm,1875.0,cuda,0.1,vgg,False,unit,2,lstm,2250.0,jade4-7,True,False,10,0.001,1.0,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.1,0.927887323943662,0.002890117096277079,0.8836,0.0022444384279369854,0.4632863849765258,0.8738,val,0.14600512349466116,0.0001,140,384,2718,0,0.5312,0.14600512349466116,0.4431803338174138,0.883604716348577,1.1709627699505593e-07,2223,4941,244,0
100,unit,2,lstm,1875.0,cuda,0.1,vgg,False,unit,2,lstm,2250.0,jade4-8,True,False,10,0.001,1.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.1,0.927887323943662,0.0027205039578532325,0.9225,0.002328333653877635,0.07211267605633803,0.8742,val,0.13469932120914796,0.0001,0,384,4941,0,0.5397,0.13469932120914796,0.4450646799429696,0.9225331889534849,-0.007279496042146768,0,4941,384,0
100,unit,2,lstm,1875.0,cuda,0.1,vgg,False,unit,2,lstm,2250.0,jade4-9,True,False,10,0.001,0.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.01,0.927887323943662,0.00422631657634323,0.9198,0.0033784687880970498,0.676056338028169,0.8753,val,0.1406463012198172,0.0001,243,384,1482,0,0.525,0.1406463012198172,0.43584045852172215,0.9197818865186234,1.631657634316129e-05,3459,4941,141,0
100,unit,2,lstm,1875.0,cuda,0.1,vgg,False,unit,2,lstm,2250.0,jade4-10,True,False,10,0.001,1.0,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.01,0.927887323943662,0.0015183854815742199,0.9175,0.001408754694415935,0.07211267605633803,0.8744,val,0.13469932120914796,0.0001,0,384,4941,0,0.5144,0.13469932120914796,0.425694274431547,0.9174822513819096,-0.00848161451842578,0,4941,384,0
100,unit,2,lstm,1875.0,cuda,0.1,vgg,False,unit,2,lstm,2250.0,jade4-11,True,False,10,0.001,1.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.01,0.927887323943662,0.0029834807872564442,0.9321,0.0026445605013577116,0.6351173708920188,0.8746,val,0.14230700801987636,0.0001,223,384,1720,0,0.5282,0.14230700801987636,0.4404982824306019,0.9320800980405907,3.4807872563609454e-06,3221,4941,161,0
100,unit,2,lstm,2500.0,cuda,0.1,vgg,False,unit,2,lstm,3000.0,jade4-12,True,False,10,0.001,0.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.1,0.927887323943662,0.004701822542289291,0.8641,0.0037734020455166563,0.6268544600938967,0.8732,val,0.14108708674740827,0.0001,221,384,1766,0,0.5105,0.14108708674740827,0.4520527996711333,0.8641449881026357,1.1822542289228154e-05,3175,4941,163,0
100,unit,2,lstm,2500.0,cuda,0.1,vgg,False,unit,2,lstm,3000.0,jade4-13,True,False,10,0.001,1.0,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.1,0.927887323943662,0.0025533825505874926,0.9065,0.0024508617579659386,0.07211267605633803,0.873,val,0.13469932120914796,0.0001,0,384,4941,0,0.5451,0.13469932120914796,0.4511175480755893,0.9064663094308799,-0.007446617449412508,0,4941,384,0
